CR,Water flow (%),RPM,LOAD,bp (kw),BRAKE THERMAL EFFICIENCY,SFC (kg/KWhr),Volumetric efficiency
16.1,25,746,3.8,0.742232566,10.68551866,0.783498985,39.79886408
16.1,25,745,4,0.780250122,11.12482871,0.752559275,39.42604547
16.1,25,744,4.2,0.818162947,11.09910974,0.754303112,39.47903747
16.1,25,746,4.4,0.859427181,11.18302257,0.74864313,39.37319554
16.1,25,742,4.6,0.893674401,11.13381729,0.751951716,39.58544997
16.1,25,741,4.8,0.931273032,10.82875618,0.773135241,39.63887163
16.1,25,740,5,0.96876693,11.13062779,0.752167189,39.69243767
16.1,25,741,5.4,1.04768216,12.1823507,0.687231326,39.63887163
16.1,25,741,5.6,1.086485203,12.63354888,0.66268735,39.63887163
16.1,25,741,5.8,1.125288246,13.08474705,0.639836062,39.63887163
16.1,25,742,6,1.165662263,13.55421236,0.617674624,39.58544997
16.1,25,738,6.2,1.198024315,13.93051529,0.600989472,38.92517303
16.1,25,733,6.4,1.228291736,10.88187584,0.769361197,39.19069263
16.1,25,730,6.6,1.26149164,11.17600567,0.749113169,39.35175027
16.1,25,722,9,1.701364192,15.07299395,0.555436634,39.33304831
